종목코드,종목명,현재가,대비,등락률(%),매도호가,매수호가,거래량(주),거래대금(원),시가,고가,저가,액면가(원),상장주식수(주),상장시가총액(원)
002360,SH에너지화학,1830,20.00,1.10,1835,1830,1136198,2086294800,1825,1875,1760,500,111133730,2.03375E+11
009160,SIMPAC,7900,50.00,0.64,7900,7870,37149,293476900,7850,7950,7850,500,29084925,2.29771E+11
123700,SJM,7000,-30.00,-0.43,7000,6980,17226,120089460,7030,7030,6940,500,15604898,1.09234E+11
025530,SJM홀딩스,5460,-120.00,-2.15,5510,5460,18231,99921680,5630,5630,5410,500,14934008,81539683680
003600,SK,192500,1000,0.52,193000,192500,99040,19321189000,192000,199500,190500,5000,46961812,9.04015E+12
034730,SK C&C,266000,-500.00,-0.19,266500,266000,148068,40245917000,269500,278000,266000,200,44000000,1.1704E+13
011790,SKC,36000,500.00,1.41,36150,36000,176537,6423081850,35200,36850,35200,5000,36761178,1.3234E+12
018670,SK가스,99300,-2700,-2.65,99300,99200,38718,3857336500,103000,103500,98200,5000,8796377,8.7348E+11
001740,SK네트웍스,7880,-100.00,-1.25,7880,7870,1220314,9676304590,7940,8030,7830,2500,248187647,1.95572E+12
096770,SK이노베이션,122500,0.00,0.00,123000,122500,418300,51754241463,123000,126500,121500,5000,92465564,1.1327E+13
001510,SK증권,1400,-60.00,-4.11,1405,1400,11084138,16063355850,1450,1510,1400,500,320117171,4.48164E+11
006120,SK케미칼,75400,-1600,-2.08,75500,75400,259191,19747914000,75800,78100,74800,5000,20843047,1.57157E+12
017670,SK텔레콤,256500,-500.00,-0.19,256500,256000,95631,24539941252,257000,261000,254500,500,80745711,2.07113E+13
000660,SK하이닉스,46150,-400.00,-0.86,46200,46150,1775422,82469622300,46550,47100,46050,5000,728002365,3.35973E+13
011810,STX,4820,20.00,0.42,4820,4810,56028,271150995,4875,4960,4770,2500,29845260,1.43854E+11
077970,STX엔진,9870,-90.00,-0.90,9880,9870,6997,69545900,9770,10200,9700,2500,23008904,2.27098E+11
071970,STX중공업,8230,130.00,1.60,8250,8230,26854,222577440,8220,8550,8050,2500,22325027,1.83735E+11
002710,TCC동양,2405,-45.00,-1.84,2410,2405,37586,91756810,2545,2545,2400,1000,20000000,48100000000
024070,WISCOM,5490,10.00,0.18,5490,5480,6107,33492060,5500,5510,5470,500,15025920,82492300800
037270,YG PLUS,4200,-240.00,-5.41,4200,4195,344578,1486904540,4440,4520,4200,500,56927582,2.39096E+11
000500,가온전선,23750,100.00,0.42,23750,23350,9048,210581400,23150,23750,23000,5000,4160347,98808241250
035250,강원랜드,37750,-400.00,-1.05,37850,37750,535021,20281375550,38450,38600,37650,500,213940500,8.07625E+12
000860,건설화학,51900,700.00,1.37,51900,51800,7559,388197800,51000,52000,50300,1000,6500000,3.3735E+11
008020,경남에너지,7250,80.00,1.12,7290,7250,898,6463270,7180,7300,7050,500,41249008,2.99055E+11
192520,경남은행,9750,0.00,0.00,0,0,0,0,0,0,0,5000,78420912,7.64604E+11
002100,경농,5770,-150.00,-2.53,5780,5770,32004,185668010,5920,5940,5750,500,21691750,1.25161E+11
012320,경동가스,118500,-1000,-0.84,120000,118500,4313,515635000,120000,120000,117500,5000,3484800,4.12949E+11
009450,경동나비엔,30600,0.00,0.00,30600,30550,14457,447364200,30600,31450,29950,1000,12739510,3.89829E+11
000050,경방,214000,-11000,-4.89,214500,214000,11674,2554311000,224000,226500,211500,5000,2741527,5.86687E+11
012610,경인양행,4520,120.00,2.73,4525,4520,276039,1231382445,4330,4600,4330,500,40396365,1.82592E+11
009140,경인전자,24700,-900.00,-3.52,24700,24650,749,18297000,25850,25850,24100,5000,1570797,38798685900
013580,계룡건설,10650,-200.00,-1.84,10750,10650,11290,122501250,10600,11000,10600,5000,8930907,95114159550
012200,계양전기,4795,95.00,2.02,4815,4795,752086,3645368915,4740,4965,4680,500,32600000,1.56317E+11
004200,고려개발,4470,-30.00,-0.67,4470,4465,37390,166781495,4530,4570,4315,5000,20000000,89400000000
002140,고려산업,2520,-60.00,-2.33,2555,2520,88205,224355255,2540,2580,2520,1000,24939425,62847351000
010130,고려아연,517000,6000,1.17,518000,517000,34377,17807848000,511000,522000,508000,5000,18870000,9.75579E+12
002240,고려제강,59600,-3400,-5.40,60000,59600,51152,3112063000,62100,62800,59600,1000,18000000,1.0728E+12
009810,고려포리머,2000,-70.00,-3.38,2000,1995,671407,1396729100,2000,2195,1995,500,33709316,67418632000
001290,골든브릿지증권,1385,-45.00,-3.15,1385,1380,308382,431834255,1425,1465,1370,1000,63737067,88275837795
009290,광동제약,16500,100.00,0.61,16550,16500,190931,3136909100,16400,16750,16100,1000,52420851,8.64944E+11
017040,광명전기,2380,80.00,3.48,2385,2380,450705,1051806830,2300,2400,2275,500,43337615,1.03144E+11
017900,광전자,2155,-145.00,-6.30,2185,2155,116376,254689205,2315,2315,2155,500,57943763,1.24869E+11
037710,광주신세계,346000,-9000,-2.54,350000,346000,698,244770500,347000,357000,346000,5000,1600000,5.536E+11
192530,광주은행,7900,-50.00,-0.63,7910,7900,141375,1108694570,7950,7950,7820,5000,51316057,4.05397E+11
140910,광희리츠,5310,60.00,1.14,5310,5260,27422,160867800,5250,5310,5220,5000,3628735,19268582850
030610,교보증권,9800,-150.00,-1.51,9820,9800,103122,1019801590,9880,10150,9750,5000,36000000,3.528E+11
007690,국도화학,71000,400.00,0.57,71100,71000,50667,3615138900,70500,73400,69100,5000,5810616,4.12554E+11
005320,국동,13900,100.00,0.72,14050,13900,104746,1421746950,13600,14400,13150,500,4696124,65276123600
001140,국보,15900,-450.00,-2.75,15900,15650,13521,213907800,16000,16400,15550,5000,1027304,16334133600
002720,국제약품,3985,-75.00,-1.85,3995,3985,226779,910568305,3975,4145,3880,1000,16607318,66180162230
014530,극동유화,35200,100.00,0.28,35300,35200,16875,599867500,35100,37050,34200,5000,3486942,1.2274E+11
002250,근화제약,32300,-1700,-5.00,32850,32300,77505,2537821700,33550,33550,32000,5000,11857922,3.83011E+11
014280,금강공업,84400,1000,1.20,84500,84300,3211,269342400,84200,85000,82600,5000,4855964,4.09843E+11
008870,금비,64000,-300.00,-0.47,64200,64000,9091,578378400,64500,66200,62200,5000,1000000,64000000000
001570,금양,1665,-25.00,-1.48,1665,1635,64208,105471390,1690,1690,1620,500,39353308,65523257820
