종목코드,종목명,현재가,대비,등락률(%),매도호가,매수호가,거래량(주),거래대금(원),시가,고가,저가,액면가(원),상장주식수(주),상장시가총액(원)
130580,나이스디앤비,4345,-5.00,-0.11,4355,4345,67492,293382935,4350,4445,4250,500,15400000,66913000000
036800,나이스정보통신,35550,150.00,0.42,35550,35450,51031,1800957000,34400,35600,34400,500,10000000,3.555E+11
091590,남화토건,5920,40.00,0.68,5920,5880,37890,219610260,5800,5920,5750,500,11740000,69500800000
168330,내츄럴엔도텍,16750,500.00,3.08,16750,16700,2440101,40406546750,16100,17500,15850,500,19476432,3.2623E+11
037340,네오아레나,1715,-155.00,-8.29,1720,1715,2993933,5288146940,1865,1875,1695,500,49587846,85043155890
095660,네오위즈게임즈,19600,700.00,3.70,19650,19600,251154,4865271550,18800,19850,18700,500,21915008,4.29534E+11
104200,네오위즈인터넷,11150,-450.00,-3.88,11200,11150,127426,1444309700,11600,11700,11150,500,13527550,1.50832E+11
042420,네오위즈홀딩스,16400,-100.00,-0.61,16500,16400,44595,728360000,16300,16600,16000,500,9156866,1.50173E+11
085910,네오티스,5950,0.00,0.00,5950,5900,163884,966288680,6000,6100,5780,500,10438693,62110223350
092730,네오팜,36650,-1450,-3.81,36650,36500,85842,3188640150,38250,38950,35600,500,7461237,2.73454E+11
101400,네오피델리티,2680,470.00,21.27,2680,2675,1236928,3209030435,2210,2750,2190,500,8404690,22524569200
153460,네이블,5010,-250.00,-4.75,5050,5010,36281,185595760,5150,5270,5010,500,4871276,24405092760
007390,네이처셀,4160,-205.00,-4.70,4160,4150,1375708,5729986995,4300,4330,4050,500,46825942,1.94796E+11
033640,네패스,7400,-270.00,-3.52,7420,7400,168826,1272915970,7600,7740,7400,500,21825174,1.61506E+11
087730,네패스신소재,14000,-150.00,-1.06,14100,14000,3614,51161800,14100,14250,14000,500,2860000,40040000000
073070,넥센테크,4995,-75.00,-1.48,5030,4995,7549,38160165,5100,5170,4975,500,14500000,72427500000
089140,넥스턴,7740,-1560,-16.77,7740,7710,670538,5856687780,9500,10400,7690,500,5800000,44892000000
065170,넥스트BT,2705,45.00,1.69,2720,2705,770535,2116952885,2700,2875,2565,500,37543575,1.01555E+11
139670,넥스트리밍,6020,-110.00,-1.79,6110,6020,5561,33716740,6130,6190,6000,500,7016911,42241804220
